departements,nombre_accident,clusters
01,41,0
02,24,0
03,26,0
04,23,0
05,16,0
06,72,2
07,22,0
08,10,0
09,14,0
10,30,0
11,24,0
12,9,0
13,225,1
14,39,0
15,15,0
16,17,0
17,34,0
18,20,0
19,15,0
2A,25,0
2B,26,0
21,12,0
22,54,2
23,4,0
24,22,0
25,33,0
26,25,0
27,37,0
28,18,0
29,64,2
30,34,0
31,48,2
32,17,0
33,109,2
34,54,2
35,65,2
36,7,0
37,50,2
38,47,2
39,16,0
40,26,0
41,24,0
42,59,2
43,13,0
44,41,0
45,48,2
46,5,0
47,21,0
48,5,0
49,83,2
50,35,0
51,67,2
52,13,0
53,17,0
54,40,0
55,9,0
56,55,2
57,25,0
58,14,0
59,125,2
60,48,2
61,27,0
62,47,2
63,43,2
64,76,2
65,13,0
66,33,0
67,70,2
68,22,0
69,186,1
70,4,0
71,44,2
72,48,2
73,26,0
74,51,2
75,438,3
76,69,2
77,78,2
78,81,2
79,18,0
80,24,0
81,21,0
82,5,0
83,65,2
84,24,0
85,35,0
86,21,0
87,46,2
88,22,0
89,10,0
90,3,0
91,107,2
92,227,1
93,248,1
94,204,1
95,71,2
971,37,0
972,46,2
973,50,2
974,80,2
976,15,0
